id,first_name,last_name,patronymic,date_of_birth
,Пріска,Литвиненко,Артемівна,1935-03-10
,Захар,Романець,Мартинівна,1990-09-02
,Євген,Кабалюк,Германівна,2010-03-17
,Алевтин,Іваничук,Панасівна,1931-01-31
,Станіслав,Конопленко,Михайлович,1974-09-14
,Борис,Давиденко,Вʼячеславівна,1953-05-11
,Ліза,Бабій,Валеріївна,1952-03-25
,Володимир,Вітер,Аврелійович,1986-08-04
,Алла,Конопленко,Францівна,2017-01-01
,Арсен,Швайка,Яремович,1987-06-16
,Ірина,Кабалюк,Стефанівна,1953-08-10
,Гліб,Лазаренко,Адамович,1968-01-06
,Марʼяна,Засуха,Георгіївна,1984-08-09
,Панас,Василашко,Артемівна,2020-01-28
,Олесь,Фаренюк,Євгенійович,1971-08-24
,Олександр,Жайворон,Валеріївна,1934-12-26
,Галина,Нестеренко,Богуславівна,1999-12-25
,Людмила,Бандера,Юхимівна,1965-07-29
,Едита,Червоненко,Федорівна,1992-10-23
,Омелян,Батіг,Романівна,2007-02-18
,Артем,Сич,Вадимович,2019-07-26
,Богодар,Дзиндра,Семенович,1993-04-05
,Тетяна,Пелех,Феофанівна,1930-08-06
,Опанас,Корсун,Романович,1963-04-30
,Вікторія,Артюшенко,Венедиктівна,1940-01-07
,Богуслава,Чарниш,Феофанівна,1983-08-09
,Аліна,Канівець,Охрімівна,1929-01-04
,Юстина,Джунь,Григоріївна,1991-08-09
,Богданна,Франчук,Макарівна,2022-12-19
,Емілія,Батіг,Демʼянівна,1978-03-30
,Наталія,Чаленко,Максимівна,1949-02-26
,Альбіна,Ярош,Єлисеївна,2018-07-18
,Дан,Гузенко,Єлисейович,2004-01-21
,Арсен,Аврамчук,Богодарівна,2013-07-23
,Веніямин,Ісаєвич,Вадимівна,1942-01-03
,Федір,Цибуленко,Юстимівна,1975-07-08
,Анжела,Гайдай,Григоріївна,1979-03-10
,Зорян,Бандура,Омелянівна,1975-09-15
,Мартин,Шамрай,Костянтинівна,2007-04-11
,Христина,Сагаль,Панасівна,1937-06-04
,Ростислав,Ґерета,Георгійович,1967-07-21
,Єва,Величко,Мирославівна,2021-06-16
,Альберт,Андрієнко,Валерійович,1993-04-20
,Микита,Лаба,Демʼянович,2001-11-18
,Сніжана,Балабан,Євгенівна,1988-06-13
,Ростислав,Цісик,Августинович,1954-07-22
,Станіслав,Токар,Симонівна,2009-10-24
,Артем,Василевич,Леонідівна,1925-01-08
,Сергій,Свистун,Остапівна,1981-07-01
,Камілла,Романенко,Вікторівна,2023-06-21
,Розалія,Оліфіренко,Григоріївна,1929-03-18
,Ярослава,Атаманчук,Мартинівна,1966-08-05
,Іван,Негода,Веніяминович,1932-07-25
,Розалія,Кабалюк,Азарівна,1931-02-13
,Теодор,Ільєнко,Демʼянович,1962-06-26
,Аркадій,Товстоліс,Феофанівна,1943-06-18
,Павло,Зубко,Миколаївна,1958-05-27
,Марко,Гаврилюк,Вʼячеславович,2008-12-05
,Олександр,Єщенко,Стефанівна,1997-12-19
,Еріка,Гупало,Леонтіївна,1949-03-20
,Богуслава,Деряжний,Едуардівна,1996-04-07
,Остап,Опанасенко,Йосипович,1984-11-27
,Єлисавета,Гаврюшенко,Гаврилівна,1929-01-15
,Михайло,Ґерус,Ростиславович,1986-09-23
,Святослав,Гайденко,Кирилівна,1964-09-24
,Олесь,Єрошенко,Ярославович,1939-11-28
,Світлана,Даньків,Азарівна,1975-12-14
,Софія,Джунь,Соломонівна,2005-08-12
,Тимофій,Жаліло,Богданович,2001-07-22
,Болеслав,Прокопович,Андрійович,1942-12-30
,Панас,Дацюк,Миколайович,1924-01-17
,Віталій,Атрощенко,Михайлович,1971-04-06
,Августин,Василашко,Георгіївна,1954-12-04
,Дан,Дерегус,Амвросійовна,2019-12-13
,Трохим,Христенко,Степанович,2023-03-12
,Святослав,Ємельяненко,Іллівна,1985-10-13
,Остап,Верес,Яремович,2005-01-25
,Альберт,Тягнибок,Романівна,2003-06-04
,Валерій,Гук,Тарасович,1939-05-25
,Еріка,Годунок,Гаврилівна,2017-04-20
,Ярослав,Заєць,Аврелійович,2000-02-14
,Володимира,Стус,Русланівна,1936-12-06
,Герман,Козаченко,Єфремович,2001-10-29
,Ганна,Яремків,Теодорівна,2005-03-19
,Леон,Бевзенко,Сергійович,1952-09-04
,Соломія,Дубенко,Амвросійовна,1992-04-16
,Богуслава,Власюк,Борисівна,2014-12-28
,Кирило,Тимчук,Дмитріївна,1985-01-20
,Марко,Малишко,Іллівна,1946-11-11
,Аркадій,Христенко,Богданівна,1961-04-13
,Валентина,Христич,Едуардівна,2008-08-16
,Алла,Бгиденко,Леонідівна,1945-06-24
,Варвара,Рубан,Костянтинівна,1960-07-29
,Олена,Закусило,Зорянівна,2022-11-16
,Лесь,Сагаль,Демидівна,1929-04-02
,Соломія,Кармалюк,Іллівна,1981-03-21
,Богдан,Товстоліс,Омелянівна,1945-05-18
,Орися,Ніколюк,Дмитріївна,2010-11-05
,Оксенія,Жарко,Глібівна,1999-11-14
,Пріска,Дубина,Мартинівна,1994-11-04
,Ірина,Шамрай,Арсенівна,1992-03-24
,Ілля,Хомик,Миронівна,2017-10-26
,Захар,Свистун,Микитівна,2017-07-16
,Ілля,Ковалюк,Мартинівна,1969-07-09
,Болеслав,Ющенко,Іллівна,1953-09-20
,Аарон,Козак,Олегович,1944-02-06
,Миколай,Деркач,Богуславівна,1949-06-19
,Златослава,Романенко,Азарівна,1925-10-03
,Дмитро,Адамчук,Вадимівна,1969-10-08
,Ганна,Єфименко,Амвросійовна,1945-05-01
,Софія,Шутько,Вікторівна,1924-09-03
,Валентина,Андрійович,Амвросійовна,1988-11-29
,Маруся,Артеменко,Олександрівна,1973-06-25
,Вікторія,Калениченко,Лесівна,1991-03-20
,Максим,Арсенич,Тимофіївна,1994-04-11
,Роксолана,Шелест,Прохорівна,1924-08-22
,Онисим,Атаманчук,Мирославівна,1970-03-14
,Герман,Ващенко,Дмитріївна,1989-11-29
,Алла,Шевченко,Ааронівна,1952-05-20
,Мілена,Дерегус,Богуславівна,1970-11-23
,Азар,Дейнека,Зиновійович,2016-07-14
,Віталій,Єрченко,Венедиктович,1941-02-01
,Богуслава,Петренко,Францівна,1945-02-05
,Ярослава,Андрусенко,Назарівна,2000-12-23
,Марко,Семенченко,Прохорович,2015-11-26
,Ігор,Бабак,Леонідович,1986-10-10
,Юстина,Влох,Венедиктівна,1975-08-30
,Макар,Гайда,Францівна,1970-01-01
,Богуслава,Іваненко,Адамівна,1978-06-05
,Роман,Шамрай,Леопольдівна,1959-12-09
,Розалія,Теличенко,Орестівна,1928-09-14
,Ліза,Бараник,Сергіївна,2019-01-23
,Марʼяна,Гаєвський,Трохимівна,2000-05-01
,Аврелій,Ляшко,Орестівна,1940-10-26
,Симон,Остапчук,Дмитрович,1982-08-03
,Дмитро,Малик,Петрович,1963-03-21
,Франц,Іщак,Андрійович,1948-10-05
,Ліза,Гук,Захарівна,1972-01-06
,Єва,Колісниченко,Русланівна,1937-12-04
,Марія,Єресько,Азарівна,1937-02-14
,Спас,Джунь,Давидович,2014-06-24
,Леонтій,Негода,Гордійович,1947-10-12
,Симон,Чуприна,Владиславівна,1976-11-08
,Амалія,Колесниченко,Альбертівна,1996-11-18
,Кирило,Штепа,Мартинович,1950-04-09
,Розалія,Тарасенко,Тимофіївна,1967-06-23
,Франц,Дубас,Зиновійович,2001-12-10
,Святослава,Аверченко,Валеріївна,1941-03-26
,Миколай,Артимович,Веніяминівна,1989-07-01
,Наталія,Андріїшина,Несторівна,1959-03-05
,Любов,Полтавець,Климентівна,1962-05-19
,Оксенія,Гаврилів,Демидівна,2006-05-20
,Варфоломій,Дуплій,Мирославович,2019-01-01
,Юхим,Канівець,Федорівна,1933-08-18
,Альберт,Шамрай,Павлович,2019-11-17
,Іван,Абраменко,Опанасович,1960-12-27
,Демид,Приходько,Віталіївна,1935-11-20
,Анастасія,Абрагамовський,Єлисеївна,1952-02-25
,Яків,Венгринович,Климентович,1979-08-11
,Богданна,Закусило,Давидівна,2020-11-29
,Златослава,Ісаєнко,Семенівна,1956-02-15
,Захар,Хомик,Йосипівна,1995-11-06
,Олесь,Верховинець,Артемівна,1937-09-26
,Орина,Голобородько,Макарівна,2017-03-04
,Трохим,Гаврилюк,Павлівна,1985-08-03
,Орися,Фартушняк,Миронівна,1933-01-31
,Роман,Тягнибок,Гаврилівна,1977-03-26
,Алевтин,Бандура,Йосипович,1940-09-29
,Орест,Фартушняк,Ростиславович,1938-12-11
,Лариса,Бабʼюк,Валентинівна,1962-12-02
,Лукʼян,Черінько,Миронівна,2006-01-17
,Дан,Верменич,Богданович,1953-03-04
,Азар,Заруба,Петрович,1943-07-11
,Кирило,Гресь,Зорянівна,1982-07-28
,Тереза,Непорожній,Аркадіївна,1961-12-30
,Лілія,Стельмах,Богуславівна,1932-06-05
,Ростислав,Теличенко,Макарівна,1935-04-16
,Василина,Юхименко,Остапівна,2000-09-05
,Єва,Сірко,Ростиславівна,1953-07-14
,Яків,Сіробаба,Гордіївна,1998-11-17
,Левко,Даниленко,Антонівна,2019-12-06
,Марта,Москаль,Володимирівна,1929-09-28
,Давид,Данильчук,Ігнатівна,1971-11-12
,Мирослав,Микитюк,Богуславівна,1933-04-13
,Микита,Романчук,Ярославівна,2001-11-20
,Богуслава,Чабан,Йосипівна,2023-09-01
,Леон,Вітер,Георгіївна,1990-08-10
,Валерій,Саченко,Мирославович,1939-01-11
,Роксолана,Шаповал,Демидівна,1971-09-19
,Богданна,Малик,Вадимівна,1947-12-14
,Климент,Шелест,Амвросійович,1963-11-29
,Амалія,Пушкар,Стефанівна,1974-10-26
,Мирослав,Корпанюк,Іванович,1963-01-23
,Яків,Шаповал,Аркадійович,1949-08-18
,Гаврило,Нестайко,Захарівна,2005-06-30
,Леонід,Михайлюк,Валерійович,2011-12-21
,Варвара,Дрозд,Мартинівна,1995-01-17
,Анжела,Лавренко,Ааронівна,1928-01-11
,Леонід,Єрьоменко,Володимирівна,1932-02-07
,Спас,Джус,Аркадіївна,1952-12-23
,Владислав,Вишняк,Олегівна,1978-09-29
,Лесь,Ковалюк,Орхипович,2003-09-02
,Златослава,Валенко,Вікторівна,1943-10-29
,Юхим,Іванченко,Лукʼянівна,1973-03-31
,Едита,Юрчишина,Георгіївна,2005-05-03
,Тетяна,Негода,Демʼянівна,2001-07-12
,Давид,Зінкевич,Пантелеймонович,1984-06-05
,Володимир,Башполченко,Трохимівна,1967-11-28
,Яків,Тичина,Демʼянівна,1971-01-10
,Едита,Твердохліб,Стефанівна,1980-01-13
,Орися,Козаченко,Францівна,1947-02-14
,Марʼяна,Козаченко,Тимофіївна,1963-06-16
,Сніжана,Дацюк,Ааронівна,1944-11-02
,Оксенія,Перебийніс,Ааронівна,1971-12-10
,Михайло,Ісаєнко,Макарович,2002-04-19
,Марко,Василевич,Миронович,1983-03-06
,Марʼяна,Ющенко,Леопольдівна,1979-08-19
,Оксана,Бараник,Марківна,1928-05-26
,Орина,Штепа,Яремівна,1957-08-21
,Сергій,Євдокименко,Георгійович,1989-08-29
,Мілена,Артюх,Лукʼянівна,1986-08-07
,Демʼян,Шахрай,Омелянович,1939-03-24
,Олег,Чорновіл,Опанасович,1990-06-18
,Степан,Закусило,Георгіївна,1997-02-02
,Валентин,Цюпа,Гаврилівна,2019-07-20
,Йосип,Іваничук,Артемівна,2006-07-09
,Ліза,Оліфіренко,Омелянівна,1998-04-06
,Марія,Макогон,Давидівна,1934-12-15
,Вікторія,Носаченко,Ігорівна,1987-06-24
,Ярина,Рева,Романівна,1958-06-05
,Борис,Дейнека,Романович,2000-12-03
,Остап,Бебешко,Владиславівна,1989-08-15
,Григорій,Дацюк,Леонідівна,1945-03-31
,Пріска,Остапчук,Яремівна,1989-07-16
,Світлана,Ющенко,Георгіївна,1933-01-25
,Ольга,Батіг,Аркадіївна,1983-03-12
,Алевтин,Ткаченко,Єлисейович,1940-02-05
,Михайлина,Демʼянчук,Соломонівна,2002-08-28
,Розалія,Гоголь,Тарасівна,1995-08-01
,Дарина,Приймак,Вікторівна,1933-03-26
,Людмила,Вітер,Демидівна,1926-03-31
,Богуслава,Токар,Тарасівна,1930-12-14
,Ганна,Шамрай,Орхипівна,2013-09-17
,Златослава,Коваленко,Леопольдівна,1925-11-24
,Франц,Гаврилюк,Тарасович,1987-02-23
,Федір,Юрчишина,Альбертович,1940-07-14
,Оксенія,Гузій,Миронівна,1982-11-07
,Охрім,Баранник,Данівна,1968-12-10
,Емілія,Цимбалюк,Юстимівна,1971-04-07
,Людмила,Дробʼязко,Олександрівна,1947-03-06
,Розалія,Шеремета,Геннадіївна,1996-10-16
,Валентин,Чміль,Мирославівна,1974-04-08
,Яків,Рева,Опанасович,1939-11-23
,Марія,Романчук,Валеріївна,1933-11-23
,Аліна,Корбут,Тимофіївна,1985-09-09
,Єва,Гаєвський,Вікторівна,1933-08-03
,Людмила,Забарна,Кирилівна,1956-04-04
,Азар,Рябченко,Федорівна,1959-10-02
,Пилип,Іщенко,Іванович,1954-12-07
,Надія,Вертипорох,Тимофіївна,1931-04-27
,Лілія,Баранник,Вікторівна,2014-04-22
,Варвара,Деркач,Пантелеймонівна,1942-02-13
,Дан,Івасюк,Хомович,1988-01-24
,Олесь,Сомко,Богодарівна,2014-05-19
,Любов,Масоха,Яремівна,1939-04-11
,Богуслава,Гаврилишин,Антонівна,1981-02-24
,Одарка,Шморгун,Опанасівна,1977-01-19
,Богуслав,Баранник,Августинівна,2017-02-21
,Анжела,Бгиденко,Богодарівна,1947-01-06
,Валентин,Колісниченко,Русланович,2007-12-02
,Мілена,Хорішко,Тимофіївна,1990-12-05
,Одарка,Худобʼяк,Станіславівна,1951-07-15
,Тереза,Гавриш,Венедиктівна,2022-03-23
,Леон,Гавришкевич,Альбертівна,1960-04-03
,Алевтин,Литвиненко,Давидівна,2015-10-13
,Олена,Артюх,Андріївна,2023-11-10
,Анастасія,Опанасенко,Мирославівна,2001-04-18
,Аврелій,Притула,Болеславівна,1926-11-10
,Аркадій,Валенко,Феофанівна,1928-08-29
,Святослав,Данилюк,Вʼячеславівна,2013-02-11
,Ганна,Савенко,Леопольдівна,2021-09-17
,Софія,Самойленко,Ростиславівна,1991-09-20
,Олесь,Сацюк,Лукʼянівна,2018-12-21
,Ліза,Терещенко,Семенівна,2010-07-22
,Аврелій,Шелест,Васильівна,1960-06-24
,Маруся,Рябошапка,Богуславівна,1991-08-29
,Дарина,Арсенич,Ігорівна,2023-03-24
,Сергій,Зінчук,Охрімівна,1996-11-01
,Костянтин,Мазепа,Максимович,1925-12-25
,Назар,Конопля,Валерійович,1971-04-05
,Ярослава,Петренко,Петрівна,1995-05-03
,Юстина,Іващенко,Юстимівна,1941-07-23
,Михайлина,Канівець,Мирославівна,2003-04-04
,Златослава,Їжак,Олегівна,1956-02-18
,Орхип,Цибуленко,Єлисейович,1941-09-02
,Любов,Бандура,Леонідівна,2005-08-09
,Богодар,Вахній,Ааронович,1987-08-21
,Віолетта,Смик,Русланівна,2011-07-19
,Віолетта,Саченко,Германівна,1939-05-06
,Олекса,Чорновіл,Романович,1938-02-05
,Анжела,Дахно,Михайлівна,2008-04-06
,Віолетта,Єрьоменко,Єлисеївна,1976-02-05
,Василина,Цісик,Степанівна,1937-07-25
,Прохір,Андрійович,Стефанівна,1969-08-10
,Трохим,Макогон,Костянтинович,1937-09-22
,Аарон,Заєць,Спасівна,1987-03-19
,Миколай,Юрчук,Миколайович,1995-03-01
,Камілла,Щербань,Адамівна,1957-02-25
,Ліза,Ящук,Демʼянівна,1979-12-07
,Леонід,Андрейко,Геннадійович,2004-07-17
,Сніжана,Дейсун,Несторівна,1992-07-07
,Ганна,Швачка,Станіславівна,1981-12-13
,Назар,Чекалюк,Михайлівна,2008-08-13
,Віталій,Давиденко,Дмитрович,1929-08-31
,Едуард,Єрьоменко,Варфоломійович,1990-11-21
,Лілія,Єрьоменко,Бориславівна,2022-07-20
,Борис,Рева,Артемівна,2002-01-02
,Альбіна,Царенко,Антонівна,1983-12-03
,Ада,Удовенко,Лесівна,1933-09-19
,Ада,Даньків,Опанасівна,1969-04-21
,Марʼяна,Козаченко,Охрімівна,1941-11-09
,Юстина,Нестайко,Леонтіївна,1937-12-29
,Адам,Микитюк,Петрівна,1937-04-17
,Марина,Кабалюк,Юстимівна,2005-02-24
,Наталія,Теличенко,Святославівна,1994-01-17
,Омелян,Копитко,Зорянівна,1991-10-23
,Володимир,Скиба,Владиславівна,2013-07-13
,Ярема,Панчук,Давидівна,1994-11-22
,Левко,Батіг,Лукʼянівна,2002-11-08
,Людмила,Семенченко,Ігорівна,2009-03-14
,Камілла,Христич,Богуславівна,1978-06-06
,Августин,Удовенко,Соломонович,1937-07-07
,Анастасія,Чаленко,Віталіївна,1967-05-18
,Віолетта,Павленко,Станіславівна,1977-04-09
,Роман,Байда,Остапович,2001-07-23
,Галина,Сірко,Костянтинівна,1928-01-01
,Марина,Полтавець,Охрімівна,2016-10-13
,Арсен,Олійник,Омелянівна,2007-02-26
,Демид,Іваничук,Назарович,1939-07-18
,Аарон,Мамчур,Тарасович,1986-12-28
,Орест,Приймак,Степанович,1928-06-03
,Володимира,Дзюба,Павлівна,2023-07-14
,Марта,Василенко,Лукʼянівна,1950-02-05
,Амвросій,Андрусенко,Юхимівна,2001-07-11
,Олександр,Жученко,Климентівна,1991-08-04
,Ада,Івасюк,Васильівна,2018-11-11
,Семен,Негода,Максимович,2021-02-22
,Михайлина,Скиба,Едуардівна,1997-08-10
,Розалія,Алексюк,Йосипівна,1948-01-05
,Ольга,Єресько,Омелянівна,1972-07-17
,Пармен,Забара,Владиславівна,1983-12-19
,Федір,Слюсар,Спасівна,1929-10-26
,Ярослава,Петлюра,Макарівна,1959-01-30
,Сніжана,Базилевська,Єфремівна,1939-05-11
,Аніта,Панчук,Григоріївна,1925-08-03
,Марʼяна,Непорожній,Аркадіївна,2008-03-24
,Пармен,Бабій,Назарович,1978-08-28
,Світлана,Андрощук,Феофанівна,1947-07-29
,Тимофій,Рева,Макарівна,2006-07-18
,Алевтин,Цимбал,Григорійович,1961-03-27
,Давид,Дуплій,Макарович,2021-06-13
,Богуслава,Ребрик,Миколаївна,1986-05-16
,Віолетта,Василашко,Богданівна,2000-10-24
,Ігор,Примаченко,Леонтійович,2022-03-07
,Єфрем,Шахрай,Максимович,1975-06-25
,Соломія,Семенченко,Григоріївна,1990-08-25
,Гліб,Пушкар,Іванівна,1934-08-28
,Амвросій,Твердохліб,Лукʼянівна,1939-08-24
,Омелян,Юрчук,Ігнатівна,1965-04-06
,Геннадій,Барабаш,Мирославівна,1993-08-09
,Ліза,Їжакевич,Олександрівна,1945-01-25
,Марина,Матвієнко,Романівна,1957-10-09
,Ольга,Скорик,Варфоломіївна,1999-11-24
,Христина,Авраменко,Данівна,2013-11-20
,Ігор,Бабʼяк,Бориславович,2017-12-28
,Єва,Бабʼяк,Едуардівна,1998-07-20
,Василь,Даценко,Соломонович,1975-08-23
,Павло,Чумак,Остапович,1951-02-17
,Дан,Фастенко,Симонович,1963-06-21
,Франц,Яременко,Теодорівна,2019-06-08
,Лариса,Тарасенко,Іванівна,1939-09-25
,Ліза,Тимчук,Єфремівна,1993-08-26
,Артем,Іваненко,Іллівна,1988-04-21
,Мартин,Швайка,Едуардович,1959-05-28
,Мирослав,Кальченко,Тимофійович,1950-06-07
,Амалія,Єрошенко,Орестівна,2022-05-11
,Соломон,Абраменко,Георгійович,1955-06-27
,Симон,Тригуб,Олександрович,1932-11-30
,Олег,Тичина,Іллівна,1943-12-27
,Владислав,Базилевич,Веніяминович,2004-09-01
,Людмила,Супруненко,Євгенівна,1978-10-05
,Марія,Франчук,Соломонівна,2018-01-05
,Ілля,Приймак,Віталіївна,1955-08-14
,Едита,Перепелиця,Глібівна,1950-10-27
,Світлана,Іщак,Альбертівна,2002-10-06
,Олесь,Петлюра,Єлисейович,1978-11-01
,Валентина,Засуха,Іванівна,1936-06-13
,Симон,Голик,Прохорівна,1936-09-19
,Ада,Приходько,Макарівна,1995-06-04
,Гордій,Ткаченко,Владиславович,2004-03-28
,Петро,Кальченко,Михайлович,1970-09-13
,Аліна,Якимчук,Вікторівна,1981-02-07
,Демʼян,Пелех,Трохимович,1993-05-21
,Соломія,Лупій,Богданівна,1928-01-27
,Хома,Ґерус,Богуславович,1991-07-27
,Євген,Їжак,Олегович,2007-10-26
,Герман,Бабариченко,Макарівна,1931-02-17
,Христина,Архипенко,Панасівна,1947-10-20
,Пилип,Вовк,Геннадіївна,1927-09-10
,Болеслав,Лисенко,Демʼянівна,2019-04-02
,Василина,Фастенко,Йосипівна,2005-03-18
,Світлана,Жаліло,Демидівна,1977-02-17
,Любов,Тесленко,Леонідівна,2006-11-01
,Богдан,Тихий,Валерійович,2023-11-14
,Данило,Юрчишин,Орестівна,1968-08-24
,Кирило,Зарудний,Назарівна,1969-04-06
,Стефан,Ватаманюк,Назарович,2014-02-05
,Федір,Ґоляш,Венедиктівна,2023-12-06
,Юстина,Заруба,Вікторівна,2021-09-06
,Марʼяна,Іщак,Олександрівна,1968-02-28
,Гліб,Копитко,Валерійович,1971-09-27
,Одарка,Харченко,Йосипівна,1971-06-10
,Христина,Свистун,Миронівна,2001-04-09
,Ганна,Самойленко,Бориславівна,1987-08-25
,Олесь,Іваничук,Демʼянівна,1960-03-21
,Сніжана,Адамчук,Марківна,1950-06-29
,Зорян,Джунь,Святославович,1937-10-18
,Клавдія,Рябошапка,Степанівна,1931-12-01
,Орхип,Микитюк,Павлович,1927-05-23
,Юстим,Байда,Владиславович,2011-04-07
,Юстина,Ванченко,Веніяминівна,1928-12-28
,Федір,Рубан,Іванович,1960-01-08
,Марта,Рубан,Опанасівна,2013-06-04
,Феофан,Михайличенко,Святославович,1945-10-16
,Галина,Остапчук,Несторівна,2019-12-26
,Леон,Микитюк,Захарівна,2013-07-09
,Лариса,Авдєєнко,Юстимівна,2004-06-06
,Святослава,Оберемко,Остапівна,1969-01-16
,Олена,Хоменко,Варфоломіївна,1955-05-26
,Тимофій,Шеремета,Пилипович,1947-10-26
,Алевтин,Дурдинець,Альбертович,2005-10-01
,Едуард,Сіробаба,Болеславівна,1953-01-04
,Панас,Бевзенко,Лесівна,2015-04-06
,Маруся,Ващук,Орхипівна,1944-05-29
,Леонтій,Рябошапка,Августинович,1958-10-11
,Людмила,Цимбал,Станіславівна,2016-08-20
,Орися,Саєнко,Кирилівна,1925-10-05
,Трохим,Шевченко,Аврелійович,1964-07-22
,Христина,Ващук,Остапівна,1968-04-20
,Єлисавета,Засуха,Арсенівна,1951-02-20
,Марина,Андріїшина,Мартинівна,1937-09-13
,Соломія,Карпенко,Спасівна,1967-11-20
,Валентин,Дзиндра,Мартинович,1937-01-16
,Ігор,Архипенко,Романівна,2020-01-31
,Ярина,Бабак,Марківна,2005-09-14
,Орхип,Лемешко,Мирославівна,1970-09-20
,Георгій,Олійник,Леонтіївна,1938-05-31
,Зиновій,Михайличенко,Богданівна,1960-02-28
,Оксенія,Єфименко,Марківна,1940-10-28
,Семен,Бабак,Миколаївна,1953-10-26
,Єва,Свистун,Ігорівна,1996-01-13
,Соломія,Журба,Яремівна,2016-02-03
,Максим,Чаленко,Єлисеївна,1996-03-13
,Зорян,Тарасенко,Спасівна,1925-10-10
,Юстим,Ґерус,Вʼячеславович,1957-08-22
,Володимира,Онуфрієнко,Опанасівна,2007-12-11
,Варфоломій,Бевзенко,Микитович,1995-10-23
,Орися,Щербак,Августинівна,1994-10-08
,Василина,Колесниченко,Валентинівна,2010-04-07
,Леон,Захарченко,Валентинівна,1997-12-28
,Галина,Мазур,Соломонівна,1924-06-29
,Ігор,Чуприна,Олесьович,2021-03-12
,Богуслава,Баран,Бориславівна,1982-10-21
,Ярина,Остапчук,Варфоломіївна,2000-11-21
,Наталія,Ґереґа,Варфоломіївна,1923-12-18
,Едита,Гук,Олегівна,1954-06-15
,Ярослав,Андрощук,Пилипівна,2002-04-30
,Альберт,Рябченко,Захарівна,1957-09-19
,Мілена,Ватаманюк,Августинівна,1939-07-08
,Аліна,Матяш,Ярославівна,1960-06-15
,Христина,Засядько,Венедиктівна,1963-11-12
,Галина,Саєнко,Демʼянівна,1943-07-04
,Пріска,Верес,Ігнатівна,1976-02-22
,Анжела,Дрозд,Артемівна,2006-12-12
,Ольга,Ґерета,Лукʼянівна,2021-01-31
,Роксолана,Дубас,Остапівна,1999-09-05
,Ольга,Симоненко,Іванівна,1965-11-11
,Альбіна,Червоненко,Демʼянівна,1977-02-09
,Єлисавета,Чубай,Віталіївна,1978-12-04
,Данна,Петрик,Петрівна,1958-11-20
,Сніжана,Каденюк,Аврелійовна,2009-01-04
,Марія,Христич,Іванівна,1992-10-05
,Стефан,Фесенко,Орестович,1994-01-16
,Лариса,Кащенко,Устимівна,1984-12-28
,Едита,Базилевська,Лесівна,1996-09-28
,Веніямин,Хомик,Симонович,1985-12-11
,Сергій,Гаєвська,Мирославівна,1967-04-25
,Валентин,Кибкало,Ростиславівна,2000-02-14
,Богдан,Оберемко,Ростиславівна,1966-10-03
,Василь,Гаврилишина,Гордійович,2014-03-28
,Марія,Петрик,Михайлівна,1972-05-11
,Марина,Василечко,Глібівна,2012-06-29
,Прохір,Артим,Артемович,1964-02-01
